Abel	アーベル
Keyserling	カイザーリング
Kiderlen	キーデルレン
Kienzl	キーンツル
Kiessling	キースリング
Kindermann	キンダーマン
Kinkel	キンケル
Kipp	キップ
Kirchherr	キルヒヘア（キルヒヘル）
Kirchhoff	キルヒホフ
Kirchmann	キルヒマン
Kirchner	キルヒナー
Kirchschlager	キルヒシュラーガー
Kirnberger	キルンベルガー
Kirsch	キルシュ
Kirschnereit	キルシュネライト
Kirsten	キルステン
Kische	キッシェ
Kiske	キスケ
Kistler	キストラー
Klaiber	クライバー
Klanert	クラネルト
Klarwein	クラルヴァイン
Klaußner	クラウスナー
Klebe	クレーベ
Kleemann	クレーマン
Kleff	クレフ
Kleiber	クライバー
Klein	クライン
Kleinbeck	クラインベック
Kleinert	クライネルト
Kleinmichel	クラインミヒェル
Kleinschmidt	クラインシュミット
Klemm	クレム
Klemperer	クレンペラー
Klengel	クレンゲル
Klenk	クレンク
Klewer	クレヴァー
Klimsch	クリムシュ
Klinsmann	クリンスマン
Kluge	クルーゲ
Klughardt	クルーグハルト
Klum	クルム
Kmetsch	クメッチュ
Knab	クナープ
Knapp	クナップ
Knaust	クナウスト
Kneissl	クナイスル
Knies	クニース
Knietsch	クニーチュ
Knobloch	クノープロッホ
Knochenhauer	クノッヘンハウアー
Knorr	クノール
Knüppel	クニュッペル
Koch	コッホ
Kögl	ケーグル
Kohl	コール
Köhler	ケーラー
Kokoschka	ココシュカ
Kolbe	コルベ
Kölliker	ケリカー
Kollo	コロ
Kollwitz	コルヴィッツ
Koltermann	コルターマン
Kölz	ケルツ
Konetzke	コネッツケ
König	ケーニヒ
Königsperger	ケーニヒスペルガー
Köninger	ケーニンガー
Köpke	ケプケ
Köppen	ケッペン
Kostmann	コストマン
Köth	ケート
Kötter	ケッター
Kracht	クラハト
Kraft	クラフト
Krämer	クレーマー
Kratenstein	クラテンシュタイン
Kray	クライ
Kredel	クレーデル
Krehl	クレール
Kreische	クライシェ
Kreisler	クライスラー
Kremers	クレマース
Kremmer	クレンマー
Kretschmann	クレッチュマン
Kreutzer	クロイツァー、クロイツェル
Kreuz	クロイツ
Krieger	クリーガー
Kriesel	クリーゼル
Kröber	クレーバー
Kröckel	クレッケル
Krohwinkel	クローヴィンケル
Kroß	クロス
Krüger	クリューガー
Kruger	クルーガー
Krull	クルル
Kruse	クルゼ
Küchler	キュヒラー
Kücken	キュッケン
Kügeler	キューゲラー
Kühbauer	キューバウアー
Kuhn	クーン
Kühn	キューン
Kuhnau	クーナウ
Kühne	キューネ
Kühnel	キューネル
Kuhnenfels	クーネンフェルス
Kühnert	キューネルト
Kuhr	クーア
Kunkel	クンケル
Künneke	キュンネケ
Kuntz	クンツ
Küntzel	キュンツェル
Kunze	クンツェ
Kunzendorf	クンツェンドルフ
Küper	キューパー
Kupfer	クプファー
Küpker	キュプカー
Kurth	クルト
Kurz	クルツ
Kurzke	クルツケ
Kusch	クッシュ
Kuske	クスケ
Kuss	クス
Kuster	クスター
Kutt	クット
Küttel	キュッテル
Kutzer	クッツァー
Lacher	ラッハー
Lachner	ラハナー
Lambrecht	ラムブレヒト
Lammers	ランマース
Lammertz	ランメルツ
Lampe	ラムペ
Lampertz	ランペルツ
Lamprecht	ランプレヒト
Lancelle	ランセル
Land	ラント
Lang	ラング
Lange	ランゲ
Langenbach	ランゲンバッハ
Langer	ランガー
Langhans	ラングハンス
Langheim	ラングハイム
Langhein	ラングハイン
Längin	レンギン
Langjahr	ラングヤール
Längner	レングナー
Lanner	ランナー
Lanzinger	ランツィンガー
Lätzsch	レッチュ
Lau	ラウ
Lauck	ラウク
Lauenstein	ラウエンシュタイン
Lauhöfer	ラウヘーファー
Lautenbach	ラウテンバッハ
Lauzening	ラウツェニング
Lay	ライ
Lechner	レヒナー
Leckebusch	レッケブッシュ
Lederer	レデラー
Leffler	レッフラー
Legien	レギーン
Legler	レークラー
Lehar	レハール
Lehde	レーデ
Lehmann	レーマン
Lehmbruck	レームブルック
Lehmkuhl	レームクール
Leibniz	ライプニッツ
Leichtentritt	ライヒテントリット
Leimbacher	ライムバッハー
Leinweber	ラインヴェーヴァー
Leipold	ライポルト
Leisegang	ライゼガング
Leisenheimer	ライゼンハイマー
Leiser	ライザー
Leist	ライスト
Leister	ライスター
Leitz	ライツ
Lemke	レムケ
Lemmen	レンメン
Lemper	レンパー
Lenard	レーナルト
Lenbach	レンバッハ
Lendrich	レントリヒ
Lennartz	レンナルツ
Lenz	レンツ
Leonhardt	レオンハルト
Leopold	レオポルト
Lepsius	レプシウス
Lerch	レルヒ
Lerner	レルナー
Lesser	レッサー
Letsche	レッチェ
Letschert	レッチェルト
Letzel	レッツェル
Lewerenz	レーヴェレンツ
Lewin	レヴィン
Lichtenberg	リヒテンベルク
Lichtenberger	リヒテンベルガー
Lichtenstein	リヒテンシュタイン
Lieber	リーバー
Liebermann	リーバーマン
Liebert	リーベルト
Liebig	リービヒ
Liebknecht	リープクネヒト
Liebmann	リープマン
Liedtke	リートケ
Liefmann	リーフマン
Lienert	リーネルト
Liersch	リールシュ
Liesenfeld	リーゼンフェルト
Liessfeldt	リースフェルト
Liessmann	リースマン
Lietz	リーツ
Lietzmann	リーツマン
Liliencron	リリエンクローン
Lilienthal	リリエンタール
Lincke	リンケ
Lindemann	リンデマン
Lindenberg	リンデンベルク
Lindenberger	リンデンベルガー
Lindner	リントナー
Lindpaintner	リンドパイントナー
Linel	リーネル
Linhard	リンハルト
Link	リンク
Linke	リンケ
Linne	リンネ
Lipmann	リップマン
Lippmann	リップマン
Lipps	リップス
Lis	リス
List	リスト
Liszt	リスト
Litt	リット
Litterst	リッテルスト
Löbel	レーベル
Löbmann	レープマン
Löffler	レッフラー
Lohenstein	ローエンシュタイン
Lohmann	ローマン
Lohmeyer	ローマイアー
Löhrmann	レールマン
Lohse	ローゼ
Longen	ロンゲン
Lorbach	ロルバッハ
Lorenz	ローレンツ
Lörke	レールケ
Lörsch	レルシュ
Lortzing	ロルツィング
Losch	ロッシュ
Lothar	ローター
Lottner	ロットナー
Löven	レーヴェン
Löw	レーヴ
Löwe	レーヴェ
Löwenig	レーヴェニヒ
Löwenthal	レーヴェンタール
Löwidth	レーヴィト
Löwlein	レーヴライン
Lübbecke	リュベッケ
Lübeck	リューベック
Lübke	リュプケ
Lücker	リュッカー
Luczeck	ルセック
Lüdeke	リュデケ
Luden	ルーデン
Ludendorff	ルーデンドルフ
Ludwig	ルートヴィヒ
Lueger	ルエーガー
Lüger	リューガー
Luhmann	ルーマン
Lummer	ルンマー
Lunge	ルンゲ
Luther	ルター
Lux	ルックス
Lynen	リネン
Magath	マガト
Mahler	マーラー
Mählich	メーリヒ
Mai	マイ
Maier	マイヤー
Maischberger	マイシュベルガー
Majdan	マイダン
Makatsch	マカチュ
Maltritz	マルトリッツ
Malz	マルツ
Mälzer	メルツァー
Mann	マン
Mannheim	マンハイム
Manninger	マニンガー
Manteuffel	マントイフェル
Marin	マーリン
Märkl	メルクル
Markull	マルクル
Marpurg	マルプルク
Marschall	マルシャル
Marschner	マルシュナー
Martenstein	マルテンシュタイン
Marx	マルクス
Matsch	マッチュ
Matthes	マッテス
Mattheson	マッテゾン
Mauer	マウアー
Maurer	マウラー
Max	マックス
Mayer	マイヤー
Mebert	メーベルト
Meggendorfer	メッゲンドルファー
Meichelbeck	マイヒェルベック
Meie	マイエ
Meier	マイアー
Meine	マイネ
Meinecke	マイネッケ
Meiser	マイザー
Meisner	マイスナー
Meitzen	マイツェン
Melanchthon	メランヒトン
Mendelsohn	メンデルゾーン
Mendelssohn	メンデルスゾーン
Mengelberg	メンゲルベルク
Merkel	メルケル
Mertens	メルテンス
Messerschmitt	メッサーシュミット
Messlender	メスレンダー
Messner	メスナー
Metternich	メッテルニヒ
Metzelder	メッツェルダー
Meyer	マイアー
Meyerheim	マイヤーハイム
Meysenbug	マイゼンブーク
Mezger	メツガー
Michaelis	ミヒャエリス
Michalke	ミヒャルケ
Millöcker	ミレッカー
Möbius	メービウス
Modersohn	モーダーゾーン
Mohler	モーラー
Mölders	メルダース
Möller	メーラー
Moltke	モルトケ
Monn	モン
Morgenstern	モルゲンシュテルン
Mottl	モットル
Mozart	モーツァルト
Mueller	ミュラー
Mühe	ミューエ
Mühlmeister	ミュールマイスター
Müller	ミュラー
Münch	ミュンヒ
Münchhausen	ミュンヒハウゼン
Müntefering	ミュンテフェーリング
Münter	ミュンター
Naumann	ナウマン
Necke	ネッケ
Neefe	ネーフェ
Nerlinger	ネルリンガー
Nessler	ネスラー
Netzer	ネッツァー
Neubauer	ノイバウアー
Neubert	ノイベルト
Neuendorf	ノイエンドルフ
Neuendorff	ノイエンドルフ
Neukomm	ノイコム
Neumann	ノイマン
Neumayer	ノイマイヤー
Neumeister	ノイマイスター
Neuneier	ノイナイアー
Neuner	ノイナー
Neurath	ノイラート
Neustädter	ノイシュテッター
Neutsch	ノイチュ
Niederhausen	ニーダーハウゼン
Nietzsche	ニーチェ
Nigbur	ニグブル
Noddack	ノダック
Nohl	ノール
Nommensen	ノメンゼン
Norden	ノルデン
Nordheim	ノルドハイム
Noske	ノスケ
Nottebohm	ノッテボーム
Nünke	ニュンケ
Ober	オーバー（オーベル）
Oberleitner	オーバーライトナー（オーベルライトナー）
Obermayer	オーバーマイヤー（オーベルマイヤー）
Oberstadt	オーベルシュタット、オーベアシュタット
Oberstolz	オーバーシュトルツ（オーベルシュトルツ）
Oechsler	エクスラー
Oelze	エルツェ
Oesten	エステン
Offterdinger	オフターディンガー
Ohlendorf	オーレンドルフ
Ohm	オーム
Oken	オーケン
Olbrich	オルブリヒ
Oldenberg	オルデンベルク
Ollenhauer	オレンハウアー
Oncken	オンケン
Opitz	オーピッツ
Oppel	オッペル
Oppenheim	オッペンハイム
Oppenheimer	オッペンハイマー
Oppolzer	オッポルツァー
Orff	オルフ
Orlob	オルロープ
Osiander	オジアンダー
Osthoff	オストホフ
Östmann	エストマン
Ostwald	オストヴァルト
Oswald	オスヴァルト
Othmayr	オトマイアー
Otto	オットー
Overbeck	オーフェルヴェック
Overweg	オーフェルヴェーク
Pabst	パプスト
Pachelbel	パッヘルベル
Pallasch	パラッシュ
Pape	パーペ
Papenroth	パーペンロート
Paproth	パップロート
Paradies	パラディース
Parenzan	パレンツァン
Paschen	パッシェン
Paschke	パシュケ
Pasemann	パーゼマン
Patitz	パーティツ
Patzig	パッツィーク
Pätzold	ペーツォルト
Patzsch	パッチュ
Paul	パウル
Paulmüller	パウルミュラー
Paulsen	パウルゼン
Paumann	パウマン
Paumgartner	パウムガルトナー
Paur	パウア
Pawelzig	パーヴェルツィーク
Paysen	パイゼン
Pech	ペヒ
Pechbrenner	ペヒブレンナー
Pechstein	ペヒシュタイン
Peger	ペーガー
Pellny	ペルニー
Peppel	ペッペル
Pepping	ペッピング
Perfall	ペルファル
Perl	ペルル
Perle	ペルレ
Perschmann	ペルシュマン
Pertz	ペルツ
Peschel	ペッシェル
Pestel	ペステル
Peters	ペーテルス
Petersen	ペーテルゼン
Petke	ペトケ
Petz	ペーツ
Peus	ポイス
Pezel	ペーツェル
Pfaffe	プファッフェ
Pfäffle	プフェッフレ
Pfeifenberger	プファイフェンベルガー
Pfeiffer	プファイファー
Pfennig	プフェニヒ、ペニヒ
Pfister	プフィスター、フィスター
Pfitzner	プフィッツナー
Pflug	プルーク
Pfluger	プフルーガー
Pflüger	プフリューガー
Pfuderer	プフデラー
Philippi	フィリッピ
Philipps	フィリップス
Pichler	ピヒラー
Pieck	ピーク
Pieckenhagen	ピッケンハーゲン
Piehl	ピール
Pielke	ピールケ
Pietack	ピータック
Pietsch	ピーチュ
Pietzcker	ピーツカー
Pisendel	ピゼンデル
Planert	プラネルト
Platenschläger	プラテンシュレーガー
Plätschke	プレチュケ
Platte	プラッテ
Plümacher	プリュマッハー
Pöbel	ペーベル
Pohle	ポーレ
Pöhlmann	ペールマン
Pölig	ペーリヒ
Polke	ポルケ
Pommerenke	ポンマーレンケ
Pönitz	ペーニッツ
Ponsel	ポンゼル
Poppeck	ポッペク
Pöppelmann	ペッペルマン
Porsch	ポルシュ
Pörschke	ペルシュケ
Poschner	ポシュナー
Pospich	ポスピッヒ
Possardt	ポッサート
Pötter	ペッター
Pozar	ポーツァル
Prädel	プレーデル
Präger	プレーガー
Prahl	プラール
Prahm	プラーム
Prange	プランゲ
Praschma	プラシュマ
Prätorius	プレトリウス
Precht	プレヒト
Prediger	プレーディガー
Preetz	プレーツ
Pregesbauer	プレゲスバウアー
Preiss	プライス
Preissel	プライセル
Preissler	プライスラー
Pretzsch	プレッチュ
Preu	プロイ
Preuss	プロイス
Preusse	プロイセ
Prillwitz	プリルヴィッツ
Pringsheim	プリングスハイム
Prinz	プリンツ
Prinzenzing	プリンツェンツィング
Probst	プロプスト
Proch	プロッホ
Pröll	プレル
Protze	プロッツェ
Puchert	プッヘルト
Püchot	ピュヒョ
Pügner	ピュークナー
Pulver	プルファー
Pupke	プープケ
Püttlingen	ピュットリンゲン
Pütz	ピュッツ
Quandt	クヴァント
Quantz	クヴァンツ
Raiffeisen	ライフアイゼン
Rainer	ライナー
Ranke	ランケ
Ratgeb	ラトギプ
Ratzel	ラッツェル
Ratzinger	ラッツィンガー
Rauch	ラウホ
Reclam	レクラム
Reeb	レープ
Reger	レーガー
Rehm	レーム
Rehmer	レーマー
Rehmke	レームケ
Reich	ライヒ
Reichardt	ライヒャルト
Reichen	ライヒェン
Reichenbach	ライヒェンバッハ
Reichenberger	ライヒェンベルガー
Reichstein	ライヒシュタイン
Reimann	ライマン
Rein	ライン
Reinders	ラインダース
Reinecke	ライネッケ
Reinfeldt	ラインフェルト
Reininger	ライニンガー
Reinmar	ラインマル
Reinmayr	ラインマイヤー
Reinthaler	ラインターラー
Reis	ライス
Reiser	ライザー
Reiß	ライス
Reissiger	ライシガー
Reiter	ライター
Reitmaier	ライトマイヤー
Renger	レンガー、レンゲル
Rennenkampf	レンネンカンプ
Renner	レンナー
Reppe	レッペ
Retz	レッツ
Reuchlin	ロイヒリン
Reuenthal	ロイエンタール
Reus	ロイス
Reussner	ロイスナー
Reuter	ロイター
Reutter	ロイター
Reyer	ライアー
Ribbentrop	リッベントロップ
Richter	リヒター
Richthofen	リヒトホーフェン
Ricken	リッケン
Rickert	リッケルト
Rieber	リーバー
Riedelstein	リーデルシュタイン
Riedle	リードレ
Riefenstahl	リーフェンシュタール
Riefensthal	リーフェンシュタール
Riegl	リーグル
Riehl	リール
Riemann	リーマン
Riemenschneider	リーメンシュナイダー
Ries	リース
Riess	リース
Rießle	リースレ
Riethmüller	リートミュラー
Rietschel	リーチェル
Rietz	リーツ
Rihm	リーム
Rilke	リルケ
Rische	リッシェ
Ritschl	リッチュル
Ritter	リッター
Ritz	リッツ
Rodenwald	ローデンヴァルト
Röder	レーダー
Rödiger	レディガー
Roehler	レーラー
Rohe	ローエ
Röhl	レール
Röhm	レーム
Röhrig	レーリヒ
Röhrl	レール
Rohwein	ローヴァイン
Romberg	ロンベルク
Römer	レマー
Rommel	ロンメル
Rönisch	レーニシュ
Röntgen	レントゲン
Rösch	レッシュ
Rösel	レーゼル
Rosenberger	ローゼンベルガー
Rosenhain	ローゼンハイン
Rosenheim	ローゼンハイム
Rosenkranz	ローゼンクランツ
Rosenmöller	ローゼンメラー
Rosenmüller	ローゼンミュラー
Rosenstiel	ローゼンシュティール
Rösinger	レージンガー
Rosler	ロスラー
Rössl	レースル
Rothenberger	ローテンベルガー
Rother	ローター
Röttgen	レトゲン
Röttger	レトガー
Rötzsch	レッチュ
Ruben	ルーベン
Rubens	ルーベンス
Rückert	リュッケルト
Rüdel	リューデル
Rüdiger	リュディガー
Ruge	ルーゲ
Rüggeberg	リュッゲベルク
Rühl	リュール
Rühle	リューレ
Rühm	リューム
Ruhnken	ルーンケン
Rümelin	リューメリン
Rummenigge	ルンメニゲ
Rumpf	ルンプ
Rundstedt	ルントシュテット
Runge	ルンゲ
Rünger	リュンガー
Rütgers	リュトガース
Rütters	リュッタース
Ruttmann	ルットマン
Sacher	ザッハー
Sachs	ザックス
Säckingen	ゼッキンゲン
Sägebrecht	ゼーゲブレヒト
Saldern	ザルデルン
Salmhofer	ザルムホーファー
Sammer	ザマー
Sander	ザンダー、ザンデル
Sauer	ザウアー
Sauerland	ザウアーラント
Saurbier	ザウルビーア
Saxer	ザクサー
Schache	シャッヘ、シャヘ
Schachner	シャハナー
Schacht	シャハト
Schädle	シェードレ
Schäfer	シェーファー
Schaffer	シャッファー
Schäkel	シェーケル
Schär	シェアー
Scharfenberg	シャルフェンベルク
Scharnhorst	シャルンホルスト
Schärtel	シェルテル
Schäuble	ショイブレ
Schauerte	シャウエルテ
Schaumann	シャウマン
Schaumburg	シャウムブルク
Schaür	シャウアー
Scheibe	シャイベ
Scheidemann	シャイデマン
Scheidl	シャイドル
Scheidt	シャイト
Schein	シャイン
Scheler	シェーラー
Schenk	シェンク
Schenkel	シェンケル
Scherbe	シェルベ
Scherenberg	シェーレンベルク
Scherz	シェルツ
Scheurer	ショイラー
Schiele	シーレ
Schierenbeck	シーレンベック
Schiffer	シッファー、シファー
Schiller	シラー
Schillings	シリングス
Schily	シリー
Schimpf	シンプ
Schindelmeisser	シンデルマイサー
Schindler	シントラー
Schindzielorz	シンジェロルツ
Schinkel	シンケル
Schirach	シーラッハ
Schittenhelm	シッテンヘルム
Schlegel	シュレーゲル
Schlegelmilch	シュレーゲルミルヒ
Schleich	シュライヒ
Schlemmer	シュレマー
Schlick	シュリック
Schlingensief	シュリンゲンジーフ
Schlöndorff	シュレンドルフ
Schlötter	シュレッター
Schlüter	シュリューター
Schmelzer	シュメルツァー
Schmidhammer	シュミットハンマー
Schmidt	シュミット
Schmiedel	シュミーデル
Schmitt	シュミット
Schmittbauer	シュミットバウアー
Schmolke	シュモルケ
Schnaas	シュナース
Schnabel	シュナーベル
Schneid	シュナイト
Schneider	シュナイダー
Schnelldorfer	シュネルドルファー
Schnitzler	シュニッツラー
Schnoor	シュノール
Schnorr	シュノッル
Schnuphase	シュヌップハーゼ
Schöber	シェーバー
Schöberl	シェーベール
Schoberlechner	ショーバーレヒナー
Schoder	ショーダー
Scholl	ショール
Schöllmann	シェルマン
Schönberg	シェーンベルク
Schöner	シェーナー
Schönheit	シェーンハイト
Schönherr	シェーンヘア
Schönstedt	シェーンシュテット
Schopenhauer	ショーペンハウアー
Schoppel	ショッペル
Schreck	シュレック
Schreiber	シュライバー
Schreker	シュレーカー
Schröder	シュレーダー
Schrödinger	シュレーディンガー
Schröter	シュレーター
Schroth	シュロート
Schubert	シューベルト
Schuessel	シュッセル
Schultz	シュルツ
Schulz	シュルツ
Schulze	シュルツェ
Schumacher	シューマッハー
Schumann	シューマン
Schur	シュール
Schuricht	シューリヒト
Schürmann	シュルマン
Schütte	シュッテ
Schütz	シュッツ
Schütze	シュッツェ
Schwarz	シュヴァルツ
Schwarzenbeck	シュヴァルツェンベック
Schwarzenberg	シュヴァルツェンベルク
Schwarzenegger	シュヴァルツェネガー
Schwarzkopf	シュヴァルツコップ
Schwarzmann	シュヴァルツマン
Schwarzschild	シュヴァルツシルト
Schwegler	シュヴェーグラー
Schweiger	シュヴァイガー
Schweigger	シュヴァイガー
Schweinfurth	シュヴァインフルト
Schweitzer	シュヴァイツァー
Schwenckfeld	シュヴェンクフェルト
Schwentke	シュヴェンケ
Schwichtenberg	シュヴィヒテンベルク
Schwiers	シュヴィアース
Sebald	ゼーバルト
Seebach	ゼーバッハ
Seebeck	ゼーベック
Seeckt	ゼークト
Seffern	ゼッフェルン
Seghers	ゼーガース
Seidel	ザイデル
Seifert	ザイフェルト
Seiger	ザイガー
Seitz	ザイツ
Seizinger	ザイツィンガー
Sekles	ゼクレス
Semper	ゼンパー
Seneelder	ゼーネフェルダー
Senkel	ゼンケル
Sertürner	ゼルチュルナー
Sesemann	ゼーゼマン
Sethe	ゼーテ
Seuse	ゾイゼ
Severing	ゼーフェリンク
Seyfried	ザイフリート
Siebel	ジーベル
Siegel	ジーゲル
Siegert	ジーゲルト
Sielmann	ジールマン
Silcher	ジルヒャー
Simens	ジーメンス
Simmel	ジンメル
Sohm	ゾーム
Solger	ゾルガー
Sombart	ゾンバルト
Sommer	ゾマー
Sommerfeld	ゾンマーフェルト
Sonne	ゾンネ
Sorge	ゾルゲ
Spamer	シュパーマー
Spann	シュパン
Sparwasser	シュパールヴァッサー
Speer	シュペーア
Spengler	シュペングラー
Spiekermann	シュピーケルマン
Spieler	シュピーラー
Spohr	シュポア
Spörl	シュペール
Springer	シュプリンガー
Stade	シュターデ
Städel	シュテーデル
Staden	シュターデン
Stahl	シュタール
Stahlberg	シュタールベルク
Stamitz	シュターミッツ
Stammler	シュタムラー
Stark	シュタルク
Starke	シュタルケ
Stauchenberg	シュタウヘンベルク
Staudinger	シュタウディンガー
Staupitz	シュタウピッツ
Stecher	シュテッヒャー
Steffens	シュテッフェンス
Stegmann	シュテーグマン
Steibelt	シュタイベルト
Steiert	シュタイアート
Stein	シュタイン
Steinach	シュタイナッハ
Steinauer	シュタイナウアー
Steindorff	シュタインドルフ
Steiner	シュタイナー
Steinfeld	シュタインフェルト
Steinmayer	シュタインマイヤー
Steinmetz	シュタインメッツ
Steppan	シュテッパン
Steppat	シュテッパート（ステパット）
Steude	シュトイデ
Stickroth	シュティークロート
Stieglitz	シュティークリッツ
Stiehl	シュティール
Stielike	シュティーリケ
Stifel	シュティーフェル
Stifter	シュティフター
Stilke	シュティルケ
Stiller	シュティラー
Stirner	シュティルナー
Stockhausen	シュトックハウゼン
Stöckigt	シュテッキヒト
Stöffler	シュテッフラー
Stöger	シュテーガー
Stoll	シュトール
Stoltzer	シュトルツァー
Stolz	シュトルツ
Stolze	シュトルツェ
Stölzel	シュテルツェル
Storm	シュトルム
Strantz	シュトランツ
Strasser	シュトラッサー
Strassmann	シュトラスマン
Straube	シュトラウベ
Straus	シュトラウス
Strauss	シュトラウス
Strehmel	シュトレーメル
Streich	シュトライヒ
Stresemann	シュレーゼマン
Strohmann	シュトローマン
Strunz	シュトルンツ
Stüben	シュトゥーベン
Stuckenschmidt	シュトゥッケンシュミット
Stumpf	シュトゥンプ
Stünzner	シュテュンツナー
Stutzmann	ストゥッツマン
Sucher	ズーハー
Sundermann	ズンダーマン
Täglichsbeck	テーグリヒスベック
Tannhäuser	タンホイザー
Tänzler	テンツラー
Tarnat	タルナート
Taubert	タウベルト
Täufer	トイファー
Teichmann	タイヒマン
Teichmüller	タイヒミュラー
Teike	タイケ
Telemann	テレマン
Teufel	トイフェル
Teyber	タイバー
Thalberg	タールベルク
Thälmann	テールマン
Thärichen	テーリヒェン
Thauer	タウアー
Theile	タイレ
Thiel	ティール
Thielemann	ティーレマン
Thieme	ティーメ
Thomamüller	トマミュラー
Thon	トーン
Thumann	トゥーマン
Thurnwald	トゥルンヴァルト
Tirpitz	ティルピッツ
Todt	トット
Tomböck	トンベック
Tönnies	テンニース（テニエス）
Tönnissen	テニッセン
Tospann	トスパン
Tostmann	トストマン
Träder	トレーダー
Träger	トレーガー
Trares	トラレス
Traut	トラウト
Trautmann	トラウトマン
Trautner	トラウトナー
Tremmel	トレンメル
Treu	トロイ
Troll	トロール
Tromlitz	トロムリッツ
Trost	トロスト
Trötschel	トレッチェル
Tuna	トゥーナ
Tunder	トゥンダー
Ubbelohde	ウッベローデ
Überschaar	ユーバシャール
Überweg	ユーベルヴェーク
Ueberschaar	ユーバシャール
Uffelmann	ウッフェルマン
Uhland	ウーラント
Uhlenhuth	ウーレンフート
Uhlig	ウーリヒ
Uhrmann	ウーアマン
Ulbl	ウルブル
Ulbrich	ウルブリヒ
Ulrich	ウルリヒ
Umbscheiden	ウムブシャイデン
Umlauf	ウムラウフ
Unger	ウンガー
Unkel	ウンケル
Unland	ウンラント
Untersberger	ウンタースベルガー
Unverzagt	ウンフェアツァークト
Urban	ウルバン
Urmersbach	ウルメルスバッハ
Utesch	ウテシュ
Veidt	ファイト
Veit	ファイト
Verleger	フェアリーガー
Vogel	フォーゲル
Vogler	フォーグラー
Vogt	フォクト
Vogts	フォクツ
Voigt	フォークト
Volbach	フォルバッハ
Völker	フェルカー
Volkmann	フォルクマン
Volland	フォラント
Völler	フェラー
Vollerthun	フォーレルトゥン
Vollmer	フォルマー
Volquartz	フォルクヴァルツ
Volz	フォルツ
Vorläufer	フォアロイファー
Wächter	ヴェヒター
Wackenroder	ヴァッケンローダー
Wagenseil	ヴァーゲンザイル
Wagner	ヴァーグナー（ワーグナー）
Wählte	ヴェールテ
Waigel	ヴァイゲル
Waitz	ヴァイツ
Walch	ヴァルヒ
Waldseemüller	ヴァルトゼーミュラー
Waldteufel	ヴァルトトイフェル
Waldvogel	ヴァルトフォーゲル
Wallach	ヴァラハ
Wallenstein	ヴァレンシュタイン
Wallnöfer	ヴァルネファー
Walpurgis	ヴァルプルギス
Walser	ヴァルザー
Walter	ヴァルター
Waltershausen	ヴァルタースハウゼン
Walterskirchen	ヴァルタースキルヒェン
Walther	ヴァルター
Walzel	ヴァルツェル
Wangenheim	ヴァンゲンハイム
Wank	ヴァンク
Warburg	ヴァールブルク
Wartenburg	ヴァルテンブルク
Wattenbach	ヴァッテンバッハ
Wätzlich	ベットリヒ
Weber	ヴェーバー
Webern	ヴェーベルン
Weckmann	ヴェックマン
Wedel	ヴェーデル
Wefers	ヴェーフェルス
Wegener	ヴェーゲナー
Wehlmann	ヴェールマン
Weidenfeller	ヴァイデンフェラー
Weidenhöfer	ヴァイデンヘーファー
Weidenreich	ヴァイデンライヒ
Weierstrass	ヴァイアーシュトラス（ワイエルシュトラス）
Weigel	ヴァイゲル
Weigl	ヴァイグル
Weikath	ヴァイカート
Weilandt	ヴァイラント
Weingartner	ヴァインガルトナー
Weinzierl	ヴァインツィアル
Weise	ヴァイゼ
Weisenborn	ヴァイゼンボルン
Weiser	ヴァイザー
Weisgerber	ヴァイスゲルバー
Weishaupt	ヴァイスハウプト
Weismann	ヴァイスマン
Weiss	ヴァイス
Weissenburg	ヴァイセンブルク
Weisshaupt	ヴァイスハウプト
Weisskopf	ヴァイスコップ
Weissmüller	ヴァイスミュラー
Weitling	ヴァイトリング
Weizsäcker	ヴァイツゼッカー
Weller	ヴェラー、ヴェッラー
Wellinger	ヴェリンガー
Wellmer	ヴェルマー
Welte	ヴェルテ
Welter	ヴェルター
Welzel	ヴェルツェル
Welzl	ヴェルツル
Wende	ヴェンデ
Wendel	ヴェンデル
Wenders	ヴェンデルス、ヴェンダース
Wentz	ヴェンツ
Wenzel	ヴェンツェル
Weppelmann	ヴェッペルマン
Werkmeister	ヴェルクマイスター
Werle	ヴェルレ
Werner	ヴェルナー
Wertmüller	ヴェルトミュラー
Wese	ヴェーゼ
Wessel	ヴェッセル
Wessels	ヴェッセルス
Wessely	ヴェッセリー
Wetz	ヴェッツ
Wetzel	ヴェッツェル
Widhölzl	ヴィドヘルツル
Wiechel	ヴィーヒェル
Wieck	ヴィーク
Wiedener	ヴィーデナー
Wieder	ヴィーダー
Wiegand	ヴィーガント
Wiegert	ヴィーゲルト
Wieland	ヴィーラント
Wiesinger	ヴィージンガー
Wietzel	ヴィーツェル
Wilcke	ヴィルケ
Wildenbruch	ヴィルデンブルホ
Wilder	ヴィルダー
Wilfert	ヴィルフェルト
Wilhelms	ヴィルヘルムス
Wilke	ヴィルケ
Willstätter	ヴィルシュテッター
Wimmer	ヴィンマー、ヴィマー
Wimpfeling	ヴィンプフェリング
Winckelmann	ヴィンケルマン
Winckler	ヴィンクラー
Windelband	ヴィンデルバンド
Windgassen	ヴィントガッセン
Windisch	ヴィンディッシュ
Wingerter	ヴィンゲルター
Winkel	ヴィンケル
Winkler	ヴィンクラー
Winter	ヴィンター
